case:concept:name,concept:name,time:timestamp,org:resource,transaction_hash,extra_data
84552501311173882061072179092678909848479417112519557401179314115918030303319,ProposalCreated,2026-03-27T17:07:46.000Z,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0xef750d8d0014bc7e6c34bf4eed7dcd6c39e1b207c567479c326917d63fe66e8f,"Desc: Upgrade to V1"
84552501311173882061072179092678909848479417112519557401179314115918030303319,ProposalPackageCreated,2026-03-27T17:07:46.000Z,System,0xef750d8d0014bc7e6c34bf4eed7dcd6c39e1b207c567479c326917d63fe66e8f,"CID: QmUpgradeHash"
84552501311173882061072179092678909848479417112519557401179314115918030303319,VoteCast,2026-03-27T18:07:58.000Z,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0xc4f2c6aa30cebfcf8caa341087dc88e4ea2e76eebeab8f1a4bb3f57445229a2c,"Support: 1"
84552501311173882061072179092678909848479417112519557401179314115918030303319,VoteCast,2026-03-27T19:07:59.000Z,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,0x5adcfd9cf887b214a4d155e32188639ca65fee882fec169b926f1d241b56d41b,"Support: 1"
84552501311173882061072179092678909848479417112519557401179314115918030303319,ProposalQueued,2026-03-27T23:08:01.000Z,,0x83e8c2700e80ef780e7551904ed06c1420669d4076b6307a58aaa402dddeceef,""
84552501311173882061072179092678909848479417112519557401179314115918030303319,ProposalExecuted,2026-03-28T01:08:03.000Z,,0x695d6d574ca9cac36700733dc1dee0b5131998144dec3e78188f3605777582a2,""
SYSTEM_UPGRADE,DeterministicUpgradeExecuted,2026-03-28T01:08:03.000Z,,0x695d6d574ca9cac36700733dc1dee0b5131998144dec3e78188f3605777582a2,"Impl: 0x635F4129E4c5D29853FcDdf3C8e8812DD174F484"
51585221950849836127670484743157324113400180382574355260624555461840941930436,ProposalCreated,2026-03-28T01:08:04.000Z,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0xc37ace53f82dbc14ee1badef6c9df42807b80a997642138b8c50dc51bf7dd784,"Desc: Will be defeated by against votes"
51585221950849836127670484743157324113400180382574355260624555461840941930436,ProposalPackageCreated,2026-03-28T01:08:04.000Z,System,0xc37ace53f82dbc14ee1badef6c9df42807b80a997642138b8c50dc51bf7dd784,"CID: QmDefeated1"
51585221950849836127670484743157324113400180382574355260624555461840941930436,VoteCast,2026-03-28T03:08:16.000Z,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x71c47904fac3e49fab6f6efc9bf6632114363188c36245c43c346f898d3b2a92,"Support: 0"
51585221950849836127670484743157324113400180382574355260624555461840941930436,VoteCast,2026-03-28T04:08:17.000Z,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,0xf8e7befc8c20f683ce5fc57b0a29d3ceb18882b4d6b62454eddbb6f6471c614c,"Support: 0"
13347813907415478771346052523317714281692065376075398279797381616876050986301,ProposalCreated,2026-03-28T08:08:19.000Z,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0xf668c1936e7f19d454d74c4f4ea291875123371544ff0aa4e1065cd6bc294060,"Desc: Will fail quorum with only 1 vote"
13347813907415478771346052523317714281692065376075398279797381616876050986301,ProposalPackageCreated,2026-03-28T08:08:19.000Z,System,0xf668c1936e7f19d454d74c4f4ea291875123371544ff0aa4e1065cd6bc294060,"CID: QmDefeated2"
13347813907415478771346052523317714281692065376075398279797381616876050986301,VoteCast,2026-03-28T11:08:31.000Z,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0xd62ca13ca23a950c9e7fd42b538993a7b50b608bd4ce715d769dcf7229b06faa,"Support: 1"
ADV_89163464846344150454949065468968075126718052882985860431503903019495610164180,ProposalCreated,2026-03-28T15:08:34.000Z,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0xe590ec36ea440a1da307e77d6fb94cbaccc1345eea95e6a0d815919a0a60d708,"Desc: Should fail: execute without queue"
ADV_89163464846344150454949065468968075126718052882985860431503903019495610164180,ProposalPackageCreated,2026-03-28T15:08:34.000Z,System,0xe590ec36ea440a1da307e77d6fb94cbaccc1345eea95e6a0d815919a0a60d708,"CID: QmExecWithoutQueue"
ADV_89163464846344150454949065468968075126718052882985860431503903019495610164180,VoteCast,2026-03-28T15:08:46.000Z,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x221d64c6ed7d622dd1a04959df2cec7363c1aa986e8b8a55e85a338571d0cda5,"Support: 1"
